id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0061,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0061,pH,8.23,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0076,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0076,Temperature of Water,6.7,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0077,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0077,Conductivity at 25 C,656,MICROSIEMENS PER CENTIMETRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0111,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0111,Ammoniacal Nitrogen as N,0.039,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0116,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0116,"Nitrogen, Total Oxidised as N",7.4,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0117,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0117,Nitrate as N,7.37,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0118,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0118,Nitrite as N,0.031,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0119,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0119,Ammonia un-ionised as N,0.00056,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0162,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0162,Alkalinity to pH 4.5 as CaCO3,230,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0172,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0172,Chloride,31,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0180,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0180,"Orthophosphate, reactive as P",0.089,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0182,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0182,"Silica, reactive as SiO2",12,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0301,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0301,"Carbon, Organic, Dissolved as C :- {DOC}",3.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/0348,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0348,"Phosphorus, Total as P",0.11,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/9686,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9686,"Nitrogen, Total as N",7.8,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/9901,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9901,"Oxygen, Dissolved, % Saturation",104.6,PERCENTAGE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1388127/observation/9924,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-01-31T15:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9924,"Oxygen, Dissolved as O2",12.8,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0061,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0061,pH,8.28,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0076,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0076,Temperature of Water,8.6,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0077,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0077,Conductivity at 25 C,677,MICROSIEMENS PER CENTIMETRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0111,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0111,Ammoniacal Nitrogen as N,0.038,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0116,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0116,"Nitrogen, Total Oxidised as N",7.9,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0117,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0117,Nitrate as N,7.88,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0118,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0118,Nitrite as N,0.02,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0119,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0119,Ammonia un-ionised as N,0.00063,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0162,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0162,Alkalinity to pH 4.5 as CaCO3,230,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0172,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0172,Chloride,36,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0180,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0180,"Orthophosphate, reactive as P",0.1,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0182,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0182,"Silica, reactive as SiO2",11,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0301,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0301,"Carbon, Organic, Dissolved as C :- {DOC}",2.6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/0348,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0348,"Phosphorus, Total as P",0.11,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/9686,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9686,"Nitrogen, Total as N",7.9,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-RSN1074/sample/1389038/observation/9901,TH-RSN1074,RSN1074 THAMES U/S BRAY MARINA,-0.6812,51.4999,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2023-02-24T13:30:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9901,"Oxygen, Dissolved, % Saturation",106.2,PERCENTAGE
