id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0061,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0061,pH,8.2,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0076,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0076,Temperature of Water,5,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0111,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0111,Ammoniacal Nitrogen as N,0.036,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0119,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0119,Ammonia un-ionised as N,0.00045,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0135,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0135,"Solids, Suspended at 105 C",7.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/0180,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,0180,"Orthophosphate, reactive as P",0.16,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/2958,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,2958,Perfluorooctanesulfonic acid (total),0.0079,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/2959,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,2959,Perfluorooctanesulfonic acid (linear),0.0045,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/2960,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,2960,Perfluorooctanesulfonic acid (branched),0.0034,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1371309/observation/7608,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2022-01-25T13:18:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,7608,Salinity : In Situ,0.34,Parts per thousand
