id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1341852/observation/0061,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-01-28T10:03:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0061,pH,7.96,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1341852/observation/0076,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-01-28T10:03:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0076,Temperature of Water,6.1,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1341852/observation/7608,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-01-28T10:03:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,7608,Salinity : In Situ,0.29,Parts per thousand
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1341852/observation/9901,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-01-28T10:03:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9901,"Oxygen, Dissolved, % Saturation",90.1,PERCENTAGE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1341852/observation/9924,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-01-28T10:03:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9924,"Oxygen, Dissolved as O2",11.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1342425/observation/0061,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-02-23T09:29:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0061,pH,8.18,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1342425/observation/0076,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-02-23T09:29:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,0076,Temperature of Water,8.6,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1342425/observation/7608,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-02-23T09:29:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,7608,Salinity : In Situ,0.3,Parts per thousand
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1342425/observation/9901,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-02-23T09:29:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9901,"Oxygen, Dissolved, % Saturation",102.1,PERCENTAGE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0001/sample/1342425/observation/9924,TH-PRTS0001,THAMES - DOWNSTREAM OF CS1 INTAKE,-0.5846,51.4711,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2021-02-23T09:29:00,PLANNED INVESTIGATION (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,9924,"Oxygen, Dissolved as O2",11.9,MILLIGRAM PER LITRE
