id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0061,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.17,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0076,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,76,Temperature of Water,16.1,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0077,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,77,Conductivity at 25 C,665,MICROSIEMENS PER CENTIMETRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0085,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,85,BOD : 5 Day ATU,<1,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0111,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,111,Ammoniacal Nitrogen as N,0.032,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0116,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,116,"Nitrogen, Total Oxidised as N",7.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0117,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,117,Nitrate as N,7.18,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0118,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,118,Nitrite as N,0.018,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0119,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,119,Ammonia un-ionised as N,0.00091,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0162,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,162,Alkalinity to pH 4.5 as CaCO3,240,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/0180,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,180,"Orthophosphate, reactive as P",0.11,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/2921,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2921,Perfluoro-3-methoxypropanoic acid,<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/2922,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2922,"Perfluoro-3,6-dioxaheptanoic acid",<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/2923,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2923,Perfluoro(4-methoxybutanoic) acid,<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/2924,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2924,Perfluoro(2-ethoxyethane)sulfonic acid,<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0003/sample/1408741/observation/2925,TH-PRTS0003,THAMES - UPSTREAM OF CS1 OUTFALL,-0.5828,51.4827,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2024-06-17T10:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2925,3-Perfluoroheptylpropanoic acid,<0.0005,MICROGRAM PER LITRE
